Year,State,District,Block,Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Burripalem,0,0,50,50,0,0,36,12,2,47,0,3,3,47,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Pinapadu (R),0,0,50,50,0,0,50,0,0,45,5,0,41,9,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,TENALI (U),0,0,50,50,0,0,25,10,15,49,0,1,44,6,5,45,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Nelapadu,0,0,50,50,0,0,23,19,8,46,4,0,7,43,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Nandivelugu,0,0,100,100,0,0,99,1,0,100,0,0,82,18,2,98,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Kolakaluru,0,6,143,139,9,1,89,60,0,148,0,1,0,149,0,149,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Angalakuduru,2,0,98,99,1,0,26,72,2,100,0,0,2,98,0,100,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Sangam Jagarlamudi,0,0,50,50,0,0,48,2,0,50,0,0,37,13,0,50,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Gudivada,0,0,85,85,0,0,79,6,0,85,0,0,54,31,0,85,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,Katevaram,0,0,115,114,1,0,85,29,1,115,0,0,86,29,0,115,0
2025-26,ANDHRA PRADESH,GUNTUR,TENALI - 4973,China Ravuru (R),0,0,50,50,0,0,50,0,0,50,0,0,0,50,0,50,0
